A/C owner,A/C Registration,ACR,A/C Subtype,Rot Code,Valid_From,Valid_To,A/C Type,A/C Subtype,RST,Local Type,Local Subtype,ICAO Subtype,Base Airport,Category,Name,Active,ETOPS,Flight Range,RFF,Manufacturer,Man: SL#,Engine,Engine Type,Delivered,SELCAL,Aircraft Performance Index,Max Dry Operating Weight,Max Zero Fuel Weight,Max Ramp Weight,Max Takeoff Weight,Max Landing Weight,Hold Capacity(Vol),Hold Capacity(Wgt),Seat_Class_J,Seat_Class_W,Seat_Class_Y,Tail Wind,Cross Wind,Cabin Jump Seat,Cockpit Jump Seat,Remarks,Remaining Fuel,Fuel Supplied,FOB(Dep),Estimated FOB,Estimated FOB Date,Terminal,Stand,Hangar,Gate,Towing_start_position,Towing_end_position,Towing_date_time,Next Information ID,Next Information Time,Last Flight ID,Last Flight Time,Status,Updated Time,Updated by
LA,CC-BGM,BGM,789,N,2026-05-01 15:00:00.000,2051-12-31 23:59:00.000,787,789,789N,[NULL],[NULL],[NULL],SCL,CAT3,CC-BGM,Y,[NULL],[NULL],9,BOEING,38771,ROLLS-ROYCE,TRENT 1000-J,2017-01-26 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],30,0,274,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-BGM
MLW: 192.776
OXYGEN: 22
RNP: NO
LIP: NO
PZ: NO
FUMIGATION:
ENGINE: Trent 1000 J
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: YES
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],259KG,2026-05-06 13:56:00.000,[NULL],[NULL],[NULL],259KG,2026-05-06 13:56:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,065,985",2026-05-06 01:40:00.000,TAXIIN,2026-04-24 19:29:02.000,04820691
JJ,PT-XPN,XPN,321,X,2026-05-01 08:20:00.000,2051-12-31 23:59:00.000,321,321,321X,[NULL],[NULL],[NULL],GRU,CAT3,PT-XPN [RNP][INT],Y,[NULL],[NULL],7,AIRBUS,7005,CFM,CFM56-5B3/3,2016-02-29 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,8,212,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: PT-XPN
MLW: 89.000
OXYGEN: 22
RNP: ONLY GENERIC RNP-AR
LIP: NO
PZ: NO
FUMIGATION: YES
ENGINE: CFM56-5B3
SHARKLET: YES
SPACEFLEX:
NEW PAINT: YES
AUTHORIZED: AEP, COR, EZE, LIM, ROS, SCL, MVD",[NULL],[NULL],[NULL],171KG,2026-05-06 12:41:00.000,[NULL],[NULL],[NULL],171KG,2026-05-06 12:41:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,040,909",2026-05-06 10:15:00.000,ENRT,2026-04-28 14:12:48.000,04820691
LA,CC-BMB,BMB,789,N,2026-04-30 00:15:00.000,2051-12-31 23:59:00.000,787,789,789N,[NULL],[NULL],[NULL],GRU,CAT3,CC-BMB OFAR,Y,[NULL],[NULL],9,BOEING,65100,GENERAL ELECTRI,GEnx-1B,2015-08-10 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],30,0,270,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-BMB
MLW: 192.776
OXYGEN: 22
RNP: NO
LIP: NO
PZ: NO
FUMIGATION:
ENGINE: GEnx-1B
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: YES
ADS B OUT:
OTHER:",0KG,[NULL],[NULL],808KG,2026-05-06 20:58:00.000,[NULL],[NULL],[NULL],808KG,2026-05-06 20:58:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,110,112",2026-05-06 00:25:00.000,ENRT,2026-04-24 22:07:18.000,04820691
LA,CC-BGG,BGG,789,N,2026-04-29 18:35:00.000,2051-12-31 23:59:00.000,787,789,789N,[NULL],[NULL],[NULL],SCL,CAT3,CC-BGG,Y,[NULL],[NULL],9,BOEING,38461,ROLLS-ROYCE,TRENT 1000-J,2015-12-17 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],30,0,274,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-BGG
MLW: 192.776
OXYGEN: 22
RNP: NO
LIP:
PZ: NO
FUMIGATION:
ENGINE:
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: NO
ADS B OUT:
OTHER:",0KG,[NULL],[NULL],199KG,2026-05-06 11:26:00.000,[NULL],[NULL],[NULL],199KG,2026-05-06 11:26:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,110,402",2026-05-06 02:55:00.000,MAINT,2026-04-24 19:25:57.000,04820691
LA,CC-BAK,BAK,320,L,2026-04-29 07:10:00.000,2051-12-31 23:59:00.000,320,320,320L,[NULL],[NULL],[NULL],SCL,CAT3,CC-BAK ($$$),Y,[NULL],[NULL],6,AIRBUS,4597,IAE,V2527-A5,2011-02-16 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,168,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-BAK
MLW: 66.000
MTOW: 77.000
OXYGEN: 22
RNP: YES
LIP: NO
PZ: YES
FUMIGATION:
ENGINE: V2527-A5-FADEC SCN 18 SelectOne
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: YES
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],279KG,2026-05-06 12:06:00.000,[NULL],[NULL],[NULL],279KG,2026-05-06 12:06:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,040,977",2026-05-06 10:26:00.000,ENRT,2026-04-22 18:02:35.000,04615855
LA,CC-COX,COX,319,C,2026-04-28 05:50:00.000,2051-12-31 23:59:00.000,319,319,319C,[NULL],[NULL],[NULL],LIM,CAT3,CC-COX ($$$),Y,[NULL],[NULL],6,AIRBUS,2096,IAE,V2524-A5,2003-12-17 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,144,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-COX
MLW: 62.500
MTOW: 70.000
OXYGEN: 22
RNP: YES
LIP: NO
PZ: NO
FUMIGATION:
ENGINE: V2524-A5 Basic
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: NO
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],172KG,2026-05-06 01:21:00.000,[NULL],[NULL],[NULL],172KG,2026-05-06 01:21:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,080,464",2026-05-06 05:19:00.000,ENRT,2026-04-08 20:15:44.000,04820691
LA,CC-BAH,BAH,320,L,2026-04-27 10:55:00.000,2051-12-31 23:59:00.000,320,320,320L,[NULL],[NULL],[NULL],SCL,[NULL],CC-BAH ($$$),Y,[NULL],[NULL],6,AIRBUS,4549,IAE,V2527-A5,2010-12-25 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,180,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-BAH
MLW: 66.000
MTOW: 77.000
OXYGEN: 22
RNP: YES
LIP: NO
PZ: YES
FUMIGATION:
ENGINE: V2527-A5-FADEC SCN 18 SelectOne
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: YES
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],208KG,2026-05-06 16:08:00.000,[NULL],[NULL],[NULL],208KG,2026-05-06 16:08:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"10,944,261",2026-05-06 08:28:00.000,ENRT,2026-04-22 18:48:05.000,04615855
LA,CC-BLJ,BLJ,320,L,2026-04-27 09:45:00.000,2051-12-31 23:59:00.000,320,320,320L,[NULL],[NULL],[NULL],BOG,CAT3,CC-BLJ TOBOGAN,Y,[NULL],[NULL],6,AIRBUS,8786,CFM,CFM56-5B4/3,2011-09-20 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,12,162,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-BLJ
MLW: 66.000
MTOW: 73.500
OXYGEN: 22
RNP: YES
LIP: NO
PZ: NO
FUMIGATION:
ENGINE: CFM56-5B4 Sharklet.
SHARKLET: YES
SPACEFLEX: NO
NEW PAINT: YES
ADS B OUT:
OTHER: EX VIVAAIR",[NULL],[NULL],[NULL],114KG,2026-04-25 01:33:00.000,[NULL],[NULL],[NULL],114KG,2026-04-25 01:33:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,111,475",2026-05-06 00:19:00.000,TAXIOUT,2026-04-10 17:40:41.000,04615857
LA,CC-BAF,BAF,320,L,2026-04-27 08:00:00.000,2051-12-31 23:59:00.000,320,320,320L,[NULL],[NULL],[NULL],LIM,[NULL],CC-BAF ($$),Y,[NULL],[NULL],6,AIRBUS,4516,IAE,V2527-A5,2010-11-27 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,168,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-BAF
MLW: 66.000
MTOW: 73.500
OXYGEN: 22
RNP: YES
LIP: NO
PZ: YES
FUMIGATION:
ENGINE: V2527-A5-FADEC SCN 18 SelectOne
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: YES
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],279KG,2026-05-06 16:41:00.000,[NULL],[NULL],[NULL],279KG,2026-05-06 16:41:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"550,432",2021-07-26 20:06:00.000,ENRT,2026-04-16 20:29:37.000,04615855
XL,CC-CYJ,CYJ,319,C,2026-04-26 05:50:00.000,2026-05-11 05:49:00.000,319,319,319C,[NULL],[NULL],[NULL],LIM,[NULL],CC-CYJ ($$$),Y,[NULL],[NULL],6,AIRBUS,3772,IAE,V2524-A5,2009-01-27 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,144,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-CYJ
MLW: 62.500
MTOW: 70.000
OXYGEN: 22
RNP: YES
LIP: NO
PZ: NO
FUMIGATION:
ENGINE: V2524-A5 Basic
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: YES
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],86KG,2026-05-06 14:40:00.000,[NULL],[NULL],[NULL],86KG,2026-05-06 14:40:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"10,944,319",2026-05-06 05:13:00.000,ENRT,2026-04-28 14:06:33.000,04820691
LA,CC-BAD,BAD,320,L,2026-04-25 20:30:00.000,2051-12-31 23:59:00.000,320,320,320L,[NULL],[NULL],[NULL],BOG,[NULL],CC-BAD TOBOGAN,Y,[NULL],[NULL],6,AIRBUS,4476,IAE,V2527E-A5,2010-10-22 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,180,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-BAD
MLW: 66.000
MTOW: 77.000
OXYGEN: 22
RNP: YES
LIP: NO
PZ: YES
FUMIGATION:
ENGINE: V2527E-A5 Select One
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: YES
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],178KG,2026-04-24 17:02:00.000,[NULL],[NULL],[NULL],178KG,2026-04-24 17:02:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"10,944,150",2026-05-06 10:02:00.000,ENRT,2026-04-24 13:33:17.000,04815523
LA,CC-BAG,BAG,320,L,2026-04-25 15:15:00.000,2051-12-31 23:59:00.000,320,320,320L,[NULL],[NULL],[NULL],LIM,[NULL],CC-BAG ($),Y,[NULL],[NULL],6,AIRBUS,4546,IAE,V2527-A5,2010-12-25 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,168,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-BAG
MLW: 66.000
MTOW: 73.500
OXYGEN: 22
RNP: YES
LIP: NO
PZ: YES
FUMIGATION:
ENGINE: V2527-A5-FADEC SCN 18 SelectOne
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: YES
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],174KG,2026-05-06 15:30:00.000,[NULL],[NULL],[NULL],174KG,2026-05-06 15:30:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"10,944,314",2026-05-06 04:50:00.000,ENRT,2026-04-24 13:37:50.000,04815523
LA,CC-BAI,BAI,320,L,2026-04-23 09:55:00.000,2051-12-31 23:59:00.000,320,320,320L,[NULL],[NULL],[NULL],BOG,CAT3,CC-BAI ($$),Y,[NULL],[NULL],6,AIRBUS,4543,IAE,V2527E-A5,2011-01-18 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,174,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-BAI
MLW: 66.000
MTOW: 73.500
OXYGEN: 22
RNP: YES
LIP: NO
PZ: NO
FUMIGATION:
ENGINE:
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: NO
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],326KG,2026-04-23 10:07:00.000,[NULL],[NULL],[NULL],326KG,2026-04-23 10:07:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,111,383",2026-05-06 10:06:00.000,ENRT,2026-04-22 22:06:39.000,04615855
LA,CC-BFO,BFO,320,L,2026-04-21 07:15:00.000,2051-12-31 23:59:00.000,320,320,320L,[NULL],[NULL],[NULL],LIM,CAT3,CC-BFO ($$$),Y,[NULL],[NULL],6,AIRBUS,5686,CFM,CFM56-5B4/3,2013-07-11 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,180,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-BFO
MLW: 66.000
MTOW: 77.000
OXYGEN: 22
RNP: YES
LIP: NO
PZ: NO
FUMIGATION:
ENGINE: CFM56-5B4 Sharklets
SHARKLET: YES
SPACEFLEX: NO
NEW PAINT: YES
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],219KG,2026-05-06 13:29:00.000,[NULL],[NULL],[NULL],219KG,2026-05-06 13:29:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,041,024",2026-05-06 11:45:00.000,TAXIOUT,2026-04-08 21:34:53.000,04820691
LA,CC-BHE,BHE,320,L,2026-04-06 10:00:00.000,2051-12-31 23:59:00.000,320,320,320L,[NULL],[NULL],[NULL],SRZ,CAT3,CC-BHE,Y,[NULL],[NULL],6,AIRBUS,8172,PRATT & WHITNEY,PW1127GA-JM,2019-12-02 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,180,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-BHE
MLW: 67.400
MTOW: 79.000
OXYGEN: 22
RNP: YES
LIP: NO
PZ: NO
FUMIGATION:
ENGINE: PW1127GA (Alternate Climb)
SHARKLET: YES
SPACEFLEX: YES
NEW PAINT: YES
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],245KG,2026-05-06 02:08:00.000,[NULL],[NULL],[NULL],245KG,2026-05-06 02:08:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,071,083",2026-05-05 20:54:00.000,MAINT,2026-03-25 19:24:48.000,04615857
XL,CC-COU,COU,319,C,1970-01-01 00:00:00.000,2051-12-31 23:59:00.000,319,319,319C,[NULL],[NULL],[NULL],UIO,CAT3,CC-COU,Y,[NULL],[NULL],6,AIRBUS,2089,IAE,V2524-A5,2003-12-11 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,144,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-COU
MLW: 62.500
OXYGEN: 22
RNP: YES
LIP: NO
PZ: NO
FUMIGATION:
ENGINE: V2524-A5 Basic
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: NO
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],84KG,2026-05-06 14:35:00.000,[NULL],[NULL],[NULL],84KG,2026-05-06 14:35:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,039,923",2026-05-06 11:56:00.000,ENRT,2026-04-28 13:49:38.000,04820691
XL,HC-CPX,CPX,319,C,1970-01-01 00:00:00.000,2051-12-31 23:59:00.000,319,319,319C,[NULL],[NULL],[NULL],UIO,CAT3,HC-CPX ($),Y,[NULL],[NULL],6,AIRBUS,3658,IAE,V2524-A5,2008-10-30 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,144,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: HC-CPX
MLW: 62.500
MTOW: 70.000
OXYGEN: 22
RNP: YES
LIP: NO
PZ: NO
FUMIGATION:
ENGINE: V2524-A5 Basic
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: NO
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],88KG,2026-05-06 13:41:00.000,,[NULL],[NULL],[NULL],88KG,2026-05-06 13:41:00.000,,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,110,381",2026-05-06 11:56:00.000,IDLE,2026-03-28 06:50:11.000,04115126
JJ,PS-LHM,LHM,320,L,2026-05-15 08:00:00.000,2051-12-31 23:59:00.000,320,320,320L,[NULL],[NULL],[NULL],GRU,CAT3,PS-LHM,Y,[NULL],[NULL],6,AIRBUS,1234,PRATT & WHITNEY,PW1127GA-JM,2024-01-01 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,180,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: PS-LHM"
